user_id,session_id,session_start,session_size,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
90440,1507498586348453,1507498586000,2,303565,1507498735290,2,4,2,1,25,2
90440,1507498586348453,1507498586000,2,286350,1507498765290,2,4,2,1,25,2
130423,1507498587910454,1507498587000,2,159177,1507498605756,4,3,2,1,25,1
130423,1507498587910454,1507498587000,2,286128,1507498635756,4,3,2,1,25,1
234305,1507498588446455,1507498588000,3,70397,1507498588918,4,3,2,10,28,5
234305,1507498588446455,1507498588000,3,298028,1507498732409,4,3,2,10,28,1
234305,1507498588446455,1507498588000,3,234987,1507498762409,4,3,2,10,28,1
112426,1507498588774456,1507498588000,3,284020,1507498629478,4,3,2,1,25,1
112426,1507498588774456,1507498588000,3,283147,1507499399583,4,3,2,1,25,1
112426,1507498588774456,1507498588000,3,207299,1507499429583,4,3,2,1,25,1
234306,1507498589152457,1507498589000,2,233658,1507498611778,4,3,2,1,25,2
234306,1507498589152457,1507498589000,2,108856,1507498641778,4,3,2,1,25,2
119954,1507498590403458,1507498590000,2,159177,1507498717199,4,3,2,1,6,2
119954,1507498590403458,1507498590000,2,286350,1507498747199,4,3,2,1,6,2
21125,1507498590255459,1507498590000,2,205832,1507500955186,4,1,17,1,21,1
21125,1507498590255459,1507498590000,2,119109,1507500985186,4,1,17,1,21,1
80,1507498590119460,1507498590000,4,194645,1507498673458,4,3,20,1,17,1
80,1507498590119460,1507498590000,4,133160,1507498956766,4,3,20,1,17,1
80,1507498590119460,1507498590000,4,190999,1507499258166,4,3,20,1,17,1
80,1507498590119460,1507498590000,4,8963,1507499288166,4,3,20,1,17,1
177051,1507498591425461,1507498591000,2,166201,1507498592686,4,1,17,1,13,5
177051,1507498591425461,1507498591000,2,166068,1507498622686,4,1,17,1,13,5
176388,1507498594286462,1507498594000,3,299841,1507499198260,4,1,17,1,25,2
176388,1507498594286462,1507498594000,3,119109,1507499298653,4,1,17,1,25,1
176388,1507498594286462,1507498594000,3,118378,1507499328653,4,1,17,1,25,1
45334,1507498595314463,1507498595000,2,233658,1507498673394,4,3,2,11,28,2
45334,1507498595314463,1507498595000,2,83534,1507498703394,4,3,2,11,28,2
69903,1507498595812464,1507498595000,2,97590,1507498599973,4,3,2,1,9,1
69903,1507498595812464,1507498595000,2,124751,1507498629973,4,3,2,1,9,1
172428,1507498598258465,1507498598000,8,303565,1507498626788,4,1,17,1,25,2
172428,1507498598258465,1507498598000,8,124751,1507498718734,4,1,17,1,25,2
172428,1507498598258465,1507498598000,8,124748,1507498907815,4,1,17,1,25,1
172428,1507498598258465,1507498598000,8,123289,1507499034284,4,1,17,1,25,1
172428,1507498598258465,1507498598000,8,198199,1507499098922,4,1,17,1,25,2
172428,1507498598258465,1507498598000,8,129434,1507499253213,4,1,17,1,25,1
172428,1507498598258465,1507498598000,8,336380,1507499371168,4,1,17,1,25,1
172428,1507498598258465,1507498598000,8,341288,1507499401168,4,1,17,1,25,1
156463,1507498598296466,1507498598000,2,234987,1507498610841,4,3,20,1,13,2
156463,1507498598296466,1507498598000,2,301030,1507498640841,4,3,20,1,13,2
234307,1507498600425467,1507498600000,2,159177,1507498605672,4,4,20,1,9,6
234307,1507498600425467,1507498600000,2,233658,1507498635672,4,4,20,1,9,6
234308,1507498600178468,1507498600000,3,209653,1507498630118,4,3,2,1,16,5
234308,1507498600178468,1507498600000,3,111291,1507498698157,4,3,2,1,16,5
234308,1507498600178468,1507498600000,3,290354,1507498728157,4,3,2,1,16,5
234309,1507498601178469,1507498601000,2,336380,1507498780895,4,3,2,1,9,2
234309,1507498601178469,1507498601000,2,129434,1507498810895,4,3,2,1,9,2
5288,1507498605316470,1507498605000,2,303565,1507498618381,4,1,17,1,5,2
5288,1507498605316470,1507498605000,2,159177,1507498648381,4,1,17,1,5,2
234310,1507498607761471,1507498607000,4,283392,1507498607095,4,3,2,1,13,5
234310,1507498607761471,1507498607000,4,283391,1507498627421,4,3,2,1,13,5
234310,1507498607761471,1507498607000,4,282964,1507498653564,4,3,2,1,13,5
234310,1507498607761471,1507498607000,4,214709,1507498683564,4,3,2,1,13,5
15829,1507498607181472,1507498607000,4,233658,1507498653051,4,1,17,1,21,1
15829,1507498607181472,1507498607000,4,235847,1507498677974,4,1,17,1,21,1
