user_id,session_id,session_start,session_size,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
77529,1506962181357987,1506962181000,5,300470,1506962208464,4,1,17,1,25,2
77529,1506962181357987,1506962181000,5,225463,1506962305795,4,1,17,1,25,2
77529,1506962181357987,1506962181000,5,16129,1506962424519,4,1,17,1,25,2
77529,1506962181357987,1506962181000,5,96812,1506962666603,4,1,17,1,25,2
77529,1506962181357987,1506962181000,5,206402,1506962696603,4,1,17,1,25,2
77530,1506962184279988,1506962184000,2,158536,1506962714193,4,1,17,1,4,1
77530,1506962184279988,1506962184000,2,160974,1506962744193,4,1,17,1,4,1
77531,1506962184363989,1506962184000,4,160974,1506962199711,4,1,17,1,20,2
77531,1506962184363989,1506962184000,4,16129,1506962306701,4,1,17,1,20,2
77531,1506962184363989,1506962184000,4,300470,1506963097667,4,1,17,1,20,1
77531,1506962184363989,1506962184000,4,272660,1506963127667,4,1,17,1,20,1
12729,1506962184397990,1506962184000,4,162655,1506962318521,4,3,20,1,21,1
12729,1506962184397990,1506962184000,4,158082,1506962504629,4,3,20,1,21,1
12729,1506962184397990,1506962184000,4,42422,1506962749311,4,3,20,1,21,1
12729,1506962184397990,1506962184000,4,205879,1506962779311,4,3,20,1,21,1
66476,1506962185230991,1506962185000,2,162655,1506962214481,4,1,17,1,25,1
66476,1506962185230991,1506962185000,2,220258,1506962244481,4,1,17,1,25,1
77532,1506962185410992,1506962185000,2,160974,1506962268421,4,1,17,1,25,2
77532,1506962185410992,1506962185000,2,300470,1506962298421,4,1,17,1,25,2
77533,1506962185299993,1506962185000,2,225463,1506962228747,4,1,17,1,8,2
77533,1506962185299993,1506962185000,2,96812,1506962258747,4,1,17,1,8,2
77534,1506962185172994,1506962185000,3,162655,1506963739867,4,1,17,1,24,1
77534,1506962185172994,1506962185000,3,158536,1506965026930,4,1,17,1,24,1
77534,1506962185172994,1506962185000,3,168505,1506965056930,4,1,17,1,24,1
77535,1506962186401995,1506962186000,2,162300,1506962233751,4,3,2,1,13,2
77535,1506962186401995,1506962186000,2,160974,1506962263751,4,3,2,1,13,2
77536,1506962186233996,1506962186000,2,284666,1506962568092,4,1,17,1,25,1
77536,1506962186233996,1506962186000,2,161178,1506962598092,4,1,17,1,25,1
61754,1506962186334997,1506962186000,2,160974,1506962197699,4,1,17,1,19,1
61754,1506962186334997,1506962186000,2,225463,1506962227699,4,1,17,1,19,1
77537,1506962186393998,1506962186000,5,353019,1506962838458,4,1,17,1,25,1
77537,1506962186393998,1506962186000,5,288389,1506962933067,4,1,17,1,25,1
77537,1506962186393998,1506962186000,5,327478,1506963040432,4,1,17,1,25,1
77537,1506962186393998,1506962186000,5,300470,1506964316538,4,1,17,1,25,2
77537,1506962186393998,1506962186000,5,284664,1506964346538,4,1,17,1,25,2
55634,1506962187311999,1506962187000,2,160974,1506964110622,4,1,17,1,21,2
55634,1506962187311999,1506962187000,2,16129,1506964140622,4,1,17,1,21,2
58693,1506962187312000,1506962187000,5,160974,1506962189606,4,1,17,1,25,1
58693,1506962187312000,1506962187000,5,285939,1506962240310,4,1,17,1,25,1
58693,1506962187312000,1506962187000,5,118753,1506962727183,4,1,17,1,25,1
58693,1506962187312000,1506962187000,5,225463,1506963804044,4,1,17,1,25,1
58693,1506962187312000,1506962187000,5,284666,1506963834044,4,1,17,1,25,1
50709,1506962187116001,1506962187000,2,220165,1506963602488,4,1,17,1,16,1
50709,1506962187116001,1506962187000,2,224658,1506963632488,4,1,17,1,16,1
67042,1506962187328002,1506962187000,3,162300,1506962204838,4,1,17,1,11,2
67042,1506962187328002,1506962187000,3,160974,1506962205101,4,1,17,1,11,2
67042,1506962187328002,1506962187000,3,16129,1506962235101,4,1,17,1,11,2
77538,1506962188405003,1506962188000,7,96812,1506963675314,4,1,17,1,13,2
77538,1506962188405003,1506962188000,7,160974,1506963885260,4,1,17,1,13,1
77538,1506962188405003,1506962188000,7,145472,1506964194506,4,1,17,1,13,1
77538,1506962188405003,1506962188000,7,254489,1506964323048,4,1,17,1,13,1
77538,1506962188405003,1506962188000,7,145040,1506964576571,4,1,17,1,13,1
77538,1506962188405003,1506962188000,7,16129,1506964665125,4,1,17,1,13,2
77538,1506962188405003,1506962188000,7,300470,1506964695125,4,1,17,1,13,2
77539,1506962188295004,1506962188000,2,160417,1506962281033,4,1,17,1,20,1
77539,1506962188295004,1506962188000,2,160974,1506962311033,4,1,17,1,20,1
4814,1506962189412005,1506962189000,2,158536,1506962740245,4,3,2,1,20,1
4814,1506962189412005,1506962189000,2,285939,1506962770245,4,3,2,1,20,1
77540,1506962190292006,1506962190000,2,71105,1506962353026,4,1,17,1,21,7
77540,1506962190292006,1506962190000,2,36605,1506962383026,4,1,17,1,21,7
77541,1506962190226007,1506962190000,9,160974,1506962819120,4,1,17,1,13,2
77541,1506962190226007,1506962190000,9,225463,1506964748842,4,1,17,1,13,2
77541,1506962190226007,1506962190000,9,16129,1506965264384,4,1,17,1,13,2
77541,1506962190226007,1506962190000,9,158536,1506969546131,4,1,17,1,13,1
77541,1506962190226007,1506962190000,9,337082,1506969823704,4,1,17,1,13,1
77541,1506962190226007,1506962190000,9,162655,1506975295019,4,1,17,1,13,2
77541,1506962190226007,1506962190000,9,199198,1506975420272,4,1,17,1,13,2
77541,1506962190226007,1506962190000,9,166581,1506975805205,4,1,17,1,13,2
77541,1506962190226007,1506962190000,9,272143,1506975835205,4,1,17,1,13,2
77542,1506962191290008,1506962191000,3,300427,1506962296399,4,1,17,1,24,7
77542,1506962191290008,1506962191000,3,300470,1506962315236,4,1,17,1,24,5
77542,1506962191290008,1506962191000,3,162655,1506962345236,4,1,17,1,24,5
77543,1506962191143009,1506962191000,2,160974,1506962203981,4,1,17,1,24,2
77543,1506962191143009,1506962191000,2,162300,1506962233981,4,1,17,1,24,2
77544,1506962191216010,1506962191000,2,158082,1506962200949,4,3,2,1,5,6
77544,1506962191216010,1506962191000,2,162655,1506962230949,4,3,2,1,5,6
77545,1506962192214011,1506962192000,2,160974,1506962220121,4,1,17,1,21,2
77545,1506962192214011,1506962192000,2,16129,1506962250121,4,1,17,1,21,2
77546,1506962192444012,1506962192000,2,160974,1506962225639,4,1,17,1,25,2
77546,1506962192444012,1506962192000,2,225463,1506962255639,4,1,17,1,25,2
77547,1506962192145013,1506962192000,2,160974,1506962207826,4,1,17,1,21,2
77547,1506962192145013,1506962192000,2,225463,1506962237826,4,1,17,1,21,2
77548,1506962192904014,1506962192000,6,160974,1506962225239,4,1,17,1,20,1
77548,1506962192904014,1506962192000,6,162655,1506962227287,4,1,17,1,20,1
77548,1506962192904014,1506962192000,6,160417,1506962238070,4,1,17,1,20,1
77548,1506962192904014,1506962192000,6,166283,1506962248245,4,1,17,1,20,1
77548,1506962192904014,1506962192000,6,158536,1506962257909,4,1,17,1,20,1
77548,1506962192904014,1506962192000,6,206402,1506962287909,4,1,17,1,20,1
77549,1506962193364015,1506962193000,2,160974,1506962214078,4,1,17,1,13,2
77549,1506962193364015,1506962193000,2,300470,1506962244078,4,1,17,1,13,2
11334,1506962193662016,1506962193000,2,162655,1506962204304,4,1,17,1,21,1
11334,1506962193662016,1506962193000,2,236171,1506962234304,4,1,17,1,21,1
77550,1506962193666017,1506962193000,2,162300,1506962238901,4,1,17,1,25,2
77550,1506962193666017,1506962193000,2,160974,1506962268901,4,1,17,1,25,2
77551,1506962193274018,1506962193000,4,162655,1506962229421,4,1,17,1,14,1
77551,1506962193274018,1506962193000,4,160417,1506962489034,4,1,17,1,14,1
77551,1506962193274018,1506962193000,4,118753,1506962643040,4,1,17,1,14,1
77551,1506962193274018,1506962193000,4,16129,1506962673040,4,1,17,1,14,1
77552,1506962194279019,1506962194000,2,160974,1506962214079,4,1,17,1,21,2
77552,1506962194279019,1506962194000,2,59758,1506962244079,4,1,17,1,21,2
18227,1506962194362020,1506962194000,2,300470,1506962320485,4,3,20,1,16,2
18227,1506962194362020,1506962194000,2,16129,1506962350485,4,3,20,1,16,2
57813,1506962194195021,1506962194000,2,225463,1506962425541,4,1,17,1,21,1
57813,1506962194195021,1506962194000,2,158536,1506962455541,4,1,17,1,21,1
77553,1506962194144022,1506962194000,2,160974,1506962234277,4,1,17,1,8,1
77553,1506962194144022,1506962194000,2,160417,1506962264277,4,1,17,1,8,1
46236,1506962194353023,1506962194000,4,160974,1506962549358,4,1,17,1,13,2
46236,1506962194353023,1506962194000,4,162300,1506962910513,4,1,17,1,13,2
46236,1506962194353023,1506962194000,4,182394,1506969691424,4,1,17,1,13,2
46236,1506962194353023,1506962194000,4,199198,1506969721424,4,1,17,1,13,2
77554,1506962195185024,1506962195000,2,160974,1506962297256,4,1,17,11,28,2
77554,1506962195185024,1506962195000,2,300470,1506962327256,4,1,17,11,28,2
